profile_name,rating,review_topic,time_place,color,review_text,model_phone,aspect,sentiment,aspect_text,review_score
fred wright,5.0 out of 5 stars,exceeds expectation,reviewed united state august,size gbcolor black,please note tmobile carrier network issue nothing work great tmobile needed replace phone looked major brand android get kind functionality old phone would spend around took chance phone really really pleased functionality design appealing operating system fantastic great value money note im gamer im worried lot game phone use business personal application even using multiple application work great,nothing 2a,design,positive,design please note tmobile carrier network issue nothing work great tmobile needed replace phone looked major brand android get kind functionality old phone would spend around took chance phone really really pleased functionality design appealing operating system fantastic great value money note im gamer im worried lot game phone use business personal application even using multiple application work great,5
nancy wait,4.0 out of 5 stars,christmas gift husband,reviewed united state january,service provider tracfonecolor natural titaniumsize gb,even though listed previously carrier husband previous phone sim card wouldnt sync e sim phone pro reconditioned finally took really good carrier rep two hour figure love paperwork reconditioned phone transfer data,iphone 15 pro,connectivity,positive,connectivity even though listed previously carrier husband previous phone sim card wouldnt sync e sim phone pro reconditioned finally took really good carrier rep two hour figure love paperwork reconditioned phone transfer data,5
magda lopez torres,5.0 out of 5 stars,excellent,reviewed united state may,service provider unlockedcolor blue titaniumsize gb,iphone work great,iphone 15 pro,other,positive,other iphone work great,5
amazon customer,5.0 out of 5 stars,unknown,reviewed saudi arabia march,size gbcolor black,phone nice like recommend people need good camera phone try,nothing 2a,camera,positive,camera phone nice like recommend people need good camera phone try,5
pino,5.0 out of 5 stars,satisfied,reviewed italy march,black,excellent qualityprice ratio phone using year already bought gift,samsung a14 5g,price,positive,price excellent qualityprice ratio phone using year already bought gift,5
gunter r sprang,5.0 out of 5 stars,better stats u phone time lower price,reviewed united state september,size gbstyle green,dislike limitation china put u version v international w charging instead max g storage instead standard still impressive especially since iphone gpixel galaxy lower stats greater price wireless charging w faster u wired charging like come huge battery capacity wonderful unused storage used additional ram f yea cam stats great slightly less ai compared google example pro con personal preference o lease bloatware ive ever experienced refreshing give need plus much whats lacking isnt particularly necessary value insanely high im glad found phone still bragging capability year later competition still falling short,oneplus 12.csv,battery,positive,battery dislike limitation china put u version v international w charging instead max g storage instead standard still impressive especially since iphone gpixel galaxy lower stats greater price wireless charging w faster u wired charging like come huge battery capacity wonderful unused storage used additional ram f yea cam stats great slightly less ai compared google example pro con personal preference o lease bloatware ive ever experienced refreshing give need plus much whats lacking isnt particularly necessary value insanely high im glad found phone still bragging capability year later competition still falling short,5
james r smith,1.0 out of 5 stars,locked,reviewed united state january,size gbcolor black,phone described unlocked arrived locked,nothing 2a,other,neutral,other phone described unlocked arrived locked,3
brandon scott,4.0 out of 5 stars,love camera,reviewed united state september,size gbstyle green,great battery life super fast charging good amount storage great performance fantastic camera system real complaint lackluster notification screen doesnt always show notification cant figure id give phone could really nice phone also love emerald color wish electronics came color,oneplus 12.csv,battery,positive,battery great battery life super fast charging good amount storage great performance fantastic camera system real complaint lackluster notification screen doesnt always show notification cant figure id give phone could really nice phone also love emerald color wish electronics came color,5
adrienne,5.0 out of 5 stars,im happy phone got amazon,reviewed united state march,color titanium graysize gbstyle ultrapattern name phone,bought ultra replace daughter ultra phone also got amazon said phone good functional bad comment say phone alittle worried since phone box came open getting ultra phone still work good,samsung s24,other,positive,other bought ultra replace daughter ultra phone also got amazon said phone good functional bad comment say phone alittle worried since phone box came open getting ultra phone still work good,5
echo juliet,5.0 out of 5 stars,amazing,reviewed united state march,size gbstyle black,google pixel two top line samsungs feel like ive found missing cell phone gotten used charge damn thing day amazing battery blown away charged minute apparently go day charge two day last charge battery projected last another hoursi also appreciate lack bloatware well there requisite google b disable uninstall appsthe camera least good pixel camera important reason carrying cell phone one beautifulthe clone phone feature easiest method ive ever used copy apps info onto new phone almost effortlessi wasnt looking forward getting used new phone enjoying one far would thought possiblefour month later im still almost completely happy phone thing less thrilled curved edge design screen get screen protector im still planning buying brand need new phone,oneplus 12.csv,battery,positive,battery google pixel two top line samsungs feel like ive found missing cell phone gotten used charge damn thing day amazing battery blown away charged minute apparently go day charge two day last charge battery projected last another hoursi also appreciate lack bloatware well there requisite google b disable uninstall appsthe camera least good pixel camera important reason carrying cell phone one beautifulthe clone phone feature easiest method ive ever used copy apps info onto new phone almost effortlessi wasnt looking forward getting used new phone enjoying one far would thought possiblefour month later im still almost completely happy phone thing less thrilled curved edge design screen get screen protector im still planning buying brand need new phone,5
tara l sewell,5.0 out of 5 stars,would buy phone way,reviewed united state may,service provider unlockedcolor natural titaniumsize gb,arrived perfect condition took phone store transfer took minute phone store employee get running happy would buy phone way,iphone 15 pro,other,positive,other arrived perfect condition took phone store transfer took minute phone store employee get running happy would buy phone way,5
daniel mill,5.0 out of 5 stars,work perfectly,reviewed united state january,service provider unlockedcolor black titaniumsize gb,install suggest using wificloud update transfer profile phone update transfer may fail restart using wificloud phone initially make sure date upload let phone fully install apps open provider app im using mint mobile account sim card change device b select get esim c select new device process take minute youll notice data bar old phone say so new phone data activated,iphone 15 pro,connectivity,neutral,connectivity install suggest using wificloud update transfer profile phone update transfer may fail restart using wificloud phone initially make sure date upload let phone fully install apps open provider app im using mint mobile account sim card change device b select get esim c select new device process take minute youll notice data bar old phone say so new phone data activated,3
karl,4.0 out of 5 stars,unknown,reviewed sweden july,size gbcolor black,switched iphone se biggest difference alot bigger bit big preference rest phone make really good job bridging gap io android thing dont like size fine lovely phone great price opinion,nothing 2a,price,positive,price switched iphone se biggest difference alot bigger bit big preference rest phone make really good job bridging gap io android thing dont like size fine lovely phone great price opinion,5
dualsportrider,5.0 out of 5 stars,happy,reviewed united state april,color titanium blacksize gbstyle ultrapattern name phone,love,samsung s24,other,positive,other love,5
sue,5.0 out of 5 stars,refurbished work great,reviewed united state january,service provider unlockedcolor black titaniumsize gb,little hesitant get refurbished phone phone amazing came box looked absolutely brand new scratch scuff fired right working great bought several refurbished used like new item amazon ive gotten lemon ive gotten really good deal especially good deal buy something renewed always check company selling wont buy unless rating least year,iphone 15 pro,design,positive,design little hesitant get refurbished phone phone amazing came box looked absolutely brand new scratch scuff fired right working great bought several refurbished used like new item amazon ive gotten lemon ive gotten really good deal especially good deal buy something renewed always check company selling wont buy unless rating least year,5
cliente amazon,1.0 out of 5 stars,nonitalian product therefore without nfc,reviewed italy october,black,although declared italian origin true verified imei code samsung panamanian origin product origin nfcfree italian one,samsung a14 5g,other,positive,other although declared italian origin true verified imei code samsung panamanian origin product origin nfcfree italian one,5
francisco sanchez ortiz,4.0 out of 5 stars,good performance,reviewed mexico july,blue global rom,practical serf expectation,poco m6 pro,other,neutral,other practical serf expectation,3
cliente amazon,1.0 out of 5 stars,samsung smartphone equipment,reviewed italy august,black,terrible product sold without power supply besides mentioned offer car sold without battery dynamo,samsung a14 5g,battery,negative,battery terrible product sold without power supply besides mentioned offer car sold without battery dynamo,1
uwe spiess,5.0 out of 5 stars,described,reviewed germany august,black,right,samsung a14 5g,other,positive,other right,5
brian l,5.0 out of 5 stars,nothing,reviewed united state april,size gbcolor black,phone excellent phone reason brought back nothing coming better camera would bought amazon high price go nothing website went little price still phone excellent phone compare thousand dollar excellent company work att tmobile verizon check provider beyond best budget phone great performance,nothing 2a,camera,positive,camera phone excellent phone reason brought back nothing coming better camera would bought amazon high price go nothing website went little price still phone excellent phone compare thousand dollar excellent company work att tmobile verizon check provider beyond best budget phone great performance,5
kazgirl,4.0 out of 5 stars,four five star,reviewed united state march,service provider unlockedcolor white titaniumsize gb,good two deep nick screen visible even screen protector scratch bad battery health camera great nick power button speaker phone horrible volume sound fuzzy cut,iphone 15 pro,battery,neutral,battery good two deep nick screen visible even screen protector scratch bad battery health camera great nick power button speaker phone horrible volume sound fuzzy cut,3
antonio,5.0 out of 5 stars,great buy,reviewed italy november,black,excellent phone activated within indicated time perfect packaging product accordance description purchase advice,samsung a14 5g,other,positive,other excellent phone activated within indicated time perfect packaging product accordance description purchase advice,5
brayam h,5.0 out of 5 stars,phone awesome,reviewed united state november,size gbstyle green,oneplus chain apple many year switched samsung came phone couldnt resist kept buying samsung samsung year came across review one plus phone ultra fast charging thought cheaper mid range phone offer w fast charging giant like apple samsung dont told next phone would get would one plus phone amazing price pro charging fastest charging phone ever charged phone full charge min charge phone day battery life upgrade z flip camera good quality allows zoom super far away o good samsung less customizable option samsung minor con display volume really good definitely best phone highly recommend phone looking high quality lower price,oneplus 12.csv,battery,positive,battery oneplus chain apple many year switched samsung came phone couldnt resist kept buying samsung samsung year came across review one plus phone ultra fast charging thought cheaper mid range phone offer w fast charging giant like apple samsung dont told next phone would get would one plus phone amazing price pro charging fastest charging phone ever charged phone full charge min charge phone day battery life upgrade z flip camera good quality allows zoom super far away o good samsung less customizable option samsung minor con display volume really good definitely best phone highly recommend phone looking high quality lower price,5
sofia ortega,5.0 out of 5 stars,quality,reviewed united state april,service provider unlockedcolor starlightsize gb,omg phone perfect small hand come charger headphone omg im obsessed thank much amazon,iphone 13,battery,positive,battery omg phone perfect small hand come charger headphone omg im obsessed thank much amazon,5
danilo spanu,1.0 out of 5 stars,phone working,reviewed italy august,black,unfortunately phone working properly sometimes restarts reason even take hour get back running addition power button sometimes respond would like take samsung service center didnt find receiptreceipt order assert warranty asked seller let hope well,samsung a14 5g,battery,negative,battery unfortunately phone working properly sometimes restarts reason even take hour get back running addition power button sometimes respond would like take samsung service center didnt find receiptreceipt order assert warranty asked seller let hope well,1
jose l ramirez,5.0 out of 5 stars,vaguely exceeds expectation thats good thing,reviewed united state august,size gbstyle black,familiar feeling moved year old phone im surprised familiar feel navigate use right box major change camera camera really good spec attracted phone first foremost delivers doesnt anything isnt printed box cant help like finding new thing small detail quality life changed finding thing use explore phone sorta everyday mondaine happiness thursday afternoon something idk heretldr better better golden ring cigar,oneplus 12.csv,battery,positive,battery familiar feeling moved year old phone im surprised familiar feel navigate use right box major change camera camera really good spec attracted phone first foremost delivers doesnt anything isnt printed box cant help like finding new thing small detail quality life changed finding thing use explore phone sorta everyday mondaine happiness thursday afternoon something idk heretldr better better golden ring cigar,5
amazon customer,5.0 out of 5 stars,nervous extremely satisfied,reviewed united state april,service provider unlockedcolor bluesize gb,im gonna lie little nervous purchase phone seller refurbished phone hit miss reading review phone come excellent quality little imperfection took chance extremely satisfied crack front back glass minor scuff bottom speaker noticeable covered case also came battery life im happy charge fast keep battery life good amount time literally look feel like new phone fresh boxi definitely would recommendits well worth money,iphone 13,battery,positive,battery im gonna lie little nervous purchase phone seller refurbished phone hit miss reading review phone come excellent quality little imperfection took chance extremely satisfied crack front back glass minor scuff bottom speaker noticeable covered case also came battery life im happy charge fast keep battery life good amount time literally look feel like new phone fresh boxi definitely would recommendits well worth money,5
orlando,1.0 out of 5 stars,disappointed terrible experience,reviewed italy november,black,faith quality samsungs cell phone always used samsung year time samsung g gave great disappointment month use cell phone longer turn power button turn press access button many time also turn many time often want send service center km away post isnt good idea sense remove apps personal data use time buy new cell phone doubtful whether buy another samsung,samsung a14 5g,battery,positive,battery faith quality samsungs cell phone always used samsung year time samsung g gave great disappointment month use cell phone longer turn power button turn press access button many time also turn many time often want send service center km away post isnt good idea sense remove apps personal data use time buy new cell phone doubtful whether buy another samsung,5
ricardo alberto mur,5.0 out of 5 stars,report,reviewed united state january,color midnight black,excellent priceproduct ratio,redmi note 13 pro,price,positive,price excellent priceproduct ratio,5
sr,1.0 out of 5 stars,untrustworthy,reviewed italy july,black,broke second conviction week,samsung a14 5g,other,neutral,other broke second conviction week,3
seraph,5.0 out of 5 stars,great quality battery life alright,reviewed united state april,service provider unlockedcolor starlightsize gb,battery immensely better older phone left capacity storage wonderful upgrade nice design color opened box see little smudge screen easily able wiped especially get case screen protector like love nothing faulty far im happy purchase even hesitant buy amazon proved wrong sending wonderful product,iphone 13,battery,positive,battery battery immensely better older phone left capacity storage wonderful upgrade nice design color opened box see little smudge screen easily able wiped especially get case screen protector like love nothing faulty far im happy purchase even hesitant buy amazon proved wrong sending wonderful product,5
shafin,4.0 out of 5 stars,everthing seems fine battery percentage,reviewed united state december,service provider unlockedcolor black titaniumsize gb,asked seller battery percentage didnt say anything receiving phone saw battery health product marketed excellent like new expected battery healthwithout everything seems fine good outside scratch mark overall good product,iphone 15 pro,battery,positive,battery asked seller battery percentage didnt say anything receiving phone saw battery health product marketed excellent like new expected battery healthwithout everything seems fine good outside scratch mark overall good product,5
amazon customer,5.0 out of 5 stars,report,reviewed united state march,color ocean teal global rom,ok,redmi note 13 pro,other,positive,other ok,5
elio puntillo,5.0 out of 5 stars,great phone,reviewed italy august,black,corresponds description,samsung a14 5g,other,neutral,other corresponds description,3
justin marble,4.0 out of 5 stars,midtier level phone incredible price interested hightier nothing phone,reviewed united state november,size gbcolor black,admit im new nothing cmf brand bit tech nerd decided give phone try must say besides phone design second screen motorola razr phone run well slighly faster took surprise u please sure carrier support g g band used area compare product description section make sure received service u release phone nothing market analysis testing purposeswhile may sound bad least everything load quickly smoothly yet run problem battery life fantastic charge quickly screen quality slightly less better compared razr believe thats primarily result option allow deeper color fingerprint reader buit right screen work everytime breeze switch helium mobile hosted tmobile network side note highly recommend helium mobile recommend anyone interested check website research ive used big carrier many smaller one helium mobile offer expect international call month anyone best earn money within app allowing app track location get house take least min drive minute walk youll earn mobile coin add around month pay bill helium mobile app buggy time really cant go wrongback phone price great price great midtier phone glyph feature really cool there ton customize create speaker could improved phone call showsmovies good enough music sound phone speaker gb ram phone allows use ram boost feature upn gb youre looking best bang buck buy nothing phone ayou could even take bit step quality wise get even cheaper cmf phone impressive price performance allround wisenothing please make higher end version next year pro want see really great work earbuds great well,nothing 2a,battery,positive,battery admit im new nothing cmf brand bit tech nerd decided give phone try must say besides phone design second screen motorola razr phone run well slighly faster took surprise u please sure carrier support g g band used area compare product description section make sure received service u release phone nothing market analysis testing purposeswhile may sound bad least everything load quickly smoothly yet run problem battery life fantastic charge quickly screen quality slightly less better compared razr believe thats primarily result option allow deeper color fingerprint reader buit right screen work everytime breeze switch helium mobile hosted tmobile network side note highly recommend helium mobile recommend anyone interested check website research ive used big carrier many smaller one helium mobile offer expect international call month anyone best earn money within app allowing app track location get house take least min drive minute walk youll earn mobile coin add around month pay bill helium mobile app buggy time really cant go wrongback phone price great price great midtier phone glyph feature really cool there ton customize create speaker could improved phone call showsmovies good enough music sound phone speaker gb ram phone allows use ram boost feature upn gb youre looking best bang buck buy nothing phone ayou could even take bit step quality wise get even cheaper cmf phone impressive price performance allround wisenothing please make higher end version next year pro want see really great work earbuds great well,5
andrea cannizzo,4.0 out of 5 stars,adequate,reviewed italy february,black,entry level product aligned expectation,samsung a14 5g,other,neutral,other entry level product aligned expectation,3
maurice taylor,5.0 out of 5 stars,fantastic upgrade,reviewed united state may,size gbstyle black,im coming oneplus wasnt going upgrade wanted phone supported till atleast oneplus year andoid update year security update oneplus lasted whole day plus came ultra charger ultra charging advertised fast responsive oneplus feature almost everything samsung galaxy ultra offer minus spen im getting little mature cant justify buying aflagship phone anymore company offer use better value came exactlt like oneplus red box phone charger special cable would dare people daring buy phone get flagship feature better value,oneplus 12.csv,battery,positive,battery im coming oneplus wasnt going upgrade wanted phone supported till atleast oneplus year andoid update year security update oneplus lasted whole day plus came ultra charger ultra charging advertised fast responsive oneplus feature almost everything samsung galaxy ultra offer minus spen im getting little mature cant justify buying aflagship phone anymore company offer use better value came exactlt like oneplus red box phone charger special cable would dare people daring buy phone get flagship feature better value,5
hessen eisbr,5.0 out of 5 stars,mobile phone case,reviewed germany december,black,everything order,samsung a14 5g,other,neutral,other everything order,3
nkspencer,5.0 out of 5 stars,better battery,reviewed united state march,service provider unlockedcolor productredsize gb,dont really like iphones must say battery life one much better actually last day great improvement carry work barely use recharge time annoying battery life excellent need dont get fascination iphone one better,iphone 13,battery,positive,battery dont really like iphones must say battery life one much better actually last day great improvement carry work barely use recharge time annoying battery life excellent need dont get fascination iphone one better,5
antonino loiaconi,5.0 out of 5 stars,samsung galaxy g smartphone,reviewed italy february,black,samsung galaxy g smartphone nice complete simple,samsung a14 5g,connectivity,positive,connectivity samsung galaxy g smartphone nice complete simple,5
natasha smithchambers,4.0 out of 5 stars,love,reviewed united state april,service provider unlockedcolor greensize gb,surprised clean phone got itno scratch anything definitely recommend put star wasnt happy packaging great,iphone 13,other,positive,other surprised clean phone got itno scratch anything definitely recommend put star wasnt happy packaging great,5
mauro,5.0 out of 5 stars,samsung guarantee,reviewed italy may,black,almost perfect product great everything,samsung a14 5g,software,positive,software almost perfect product great everything,5
jhonatan chavez,4.0 out of 5 stars,report,reviewed united state april,service provider unlockedcolor midnightsize gb,translate review english,iphone 13,other,neutral,other translate review english,3
cliente amazon,3.0 out of 5 stars,telephone audio listening unsatisfactory phone call receiving conversation sound bad,reviewed italy june,black,mobile phone partly satisfactory partly good telephone line poor transmission hand reception often cant hear anything broken besides audio receiving phone call low maybe defect loud voice audio quality unsatisfactory partly metallic previous cell samsung plus defect contrary good time strange production company take qualitative step back point,samsung a14 5g,audio,neutral,audio mobile phone partly satisfactory partly good telephone line poor transmission hand reception often cant hear anything broken besides audio receiving phone call low maybe defect loud voice audio quality unsatisfactory partly metallic previous cell samsung plus defect contrary good time strange production company take qualitative step back point,3
augustine,5.0 out of 5 stars,incredible phone,reviewed united state may,service provider unlockedcolor blue titaniumsize gb,phone far good shape came everything intact charging level amazing screen good lagging video quality overall would give,iphone 15 pro,battery,positive,battery phone far good shape came everything intact charging level amazing screen good lagging video quality overall would give,5
sam drum,5.0 out of 5 stars,report,reviewed united state april,service provider unlockedcolor blue titaniumsize gb,translate review english,iphone 15 pro,other,neutral,other translate review english,3
daniel armando vallejo martnez,5.0 out of 5 stars,good device,reviewed mexico april,black global rom,excellent cell phone good storage capacity feature cost highend casual user performs excellently,poco m6 pro,storage,positive,storage excellent cell phone good storage capacity feature cost highend casual user performs excellently,5
anthony,5.0 out of 5 stars,everything perfect,reviewed united state may,size gbstyle black,far perfect phone could ever,oneplus 12.csv,other,positive,other far perfect phone could ever,5
tanner craig,5.0 out of 5 stars,made switch iphone,reviewed united state october,size gbstyle green,ive used apple product since iphone wanted break away try something different good spec since im tech savy ive op month might go back applewatt fast charging u hz refresh rate camera way ringer slider ir blaster thing youd beg big apple pay top dollar phone cost less apple pro model phone thingsyes know people complain camera fall little short compared apple yes photo arent bad ive seen photo phone much worse wanna get camera master mode auto proxdr work fineoverall get pay op,oneplus 12.csv,battery,neutral,battery ive used apple product since iphone wanted break away try something different good spec since im tech savy ive op month might go back applewatt fast charging u hz refresh rate camera way ringer slider ir blaster thing youd beg big apple pay top dollar phone cost less apple pro model phone thingsyes know people complain camera fall little short compared apple yes photo arent bad ive seen photo phone much worse wanna get camera master mode auto proxdr work fineoverall get pay op,3
charles jones,5.0 out of 5 stars,love,reviewed united state april,size gbstyle black,best phone ive ever owned ive many glad bought,oneplus 12.csv,other,positive,other best phone ive ever owned ive many glad bought,5
gambitle,5.0 out of 5 stars,loving,reviewed united state november,size gbstyle black,ive love quick responsive screen nice seems get signal everywhere go cool feature like ir blaster control device great camera cost little half comparable phone would brandsi love fast charge included charger something others arent even giving today battery life excellent go almost day half fairly heavy use without dyingits mostly experience android phone wish bought sooner,oneplus 12.csv,battery,positive,battery ive love quick responsive screen nice seems get signal everywhere go cool feature like ir blaster control device great camera cost little half comparable phone would brandsi love fast charge included charger something others arent even giving today battery life excellent go almost day half fairly heavy use without dyingits mostly experience android phone wish bought sooner,5
aramazd,5.0 out of 5 stars,small phone great performance,reviewed united state march,color silver shadowsize gbstyle spattern name phone,problem noticed whatsoever drawback call recording includes sound notification state call recorded informs party conversation recording taking place suppose due u legislation maybe one produced latin american market drawback,samsung s24,audio,neutral,audio problem noticed whatsoever drawback call recording includes sound notification state call recorded informs party conversation recording taking place suppose due u legislation maybe one produced latin american market drawback,3
cliente amazon,3.0 out of 5 stars,telephone audio listening unsatisfactory phone call receiving conversation sound bad,reviewed italy june,black,mobile phone partly satisfactory partly good telephone line poor transmission hand reception often cant hear anything broken besides audio receiving phone call low maybe defect loud voice audio quality unsatisfactory partly metallic previous cell samsung plus defect contrary good time strange production company take qualitative step back point,samsung a14 5g,audio,neutral,audio mobile phone partly satisfactory partly good telephone line poor transmission hand reception often cant hear anything broken besides audio receiving phone call low maybe defect loud voice audio quality unsatisfactory partly metallic previous cell samsung plus defect contrary good time strange production company take qualitative step back point,3
dave boston,4.0 out of 5 stars,decent value gb iphone pro,reviewed united state november,service provider unlockedcolor natural titaniumsize gb,purchased renewed excellent condition unlocked amazon phone came looking pretty good small nick edge screen mm back phone fine battery level disappointing look like screen replaced apple care based phone record said phone apple care till sept thats small win phone work fine issue transferring data previous iphone connected verizon without problem ive purchased used iphones amazon seller amazon past year listed excellent condition different seller worked fine far saved ton money buying new,iphone 15 pro,battery,positive,battery purchased renewed excellent condition unlocked amazon phone came looking pretty good small nick edge screen mm back phone fine battery level disappointing look like screen replaced apple care based phone record said phone apple care till sept thats small win phone work fine issue transferring data previous iphone connected verizon without problem ive purchased used iphones amazon seller amazon past year listed excellent condition different seller worked fine far saved ton money buying new,5
agustn barquera gusibar,5.0 out of 5 stars,arrived new perfectly packaged,reviewed mexico april,black global rom,like new packaged excellent,poco m6 pro,other,positive,other like new packaged excellent,5
consorzio c,1.0 out of 5 stars,description g shipping g,reviewed italy november,black,description article well specified detailed lot photo model g cell phone arrived g,samsung a14 5g,camera,positive,camera description article well specified detailed lot photo model g cell phone arrived g,5
mid laner z,5.0 out of 5 stars,superb,reviewed mexico june,black global rom,arrived one day next although box knock corner everything perfect also included adapter white european north american charger one came ribbon attached box im telcel worked perfectly phone nice main camera brutal doesnt get stuck use several application without problem,poco m6 pro,battery,positive,battery arrived one day next although box knock corner everything perfect also included adapter white european north american charger one came ribbon attached box im telcel worked perfectly phone nice main camera brutal doesnt get stuck use several application without problem,5
silvano,3.0 out of 5 stars,good product,reviewed italy may,black,disconcerting fact neither battery charger cover protection package given article exactly cheap,samsung a14 5g,battery,positive,battery disconcerting fact neither battery charger cover protection package given article exactly cheap,5
silvano,3.0 out of 5 stars,good product,reviewed italy may,black,disconcerting fact neither battery charger cover protection package given article exactly cheap,samsung a14 5g,battery,positive,battery disconcerting fact neither battery charger cover protection package given article exactly cheap,5
keyli yassari castaeda,1.0 out of 5 stars,people found helpful,reviewed united state may,color aurora purple global rom,cell phone good price give star page say come car charger didnt reach,redmi note 13 pro,battery,positive,battery cell phone good price give star page say come car charger didnt reach,5
phone exactly looking gorgeous functional totally recommend find oneplus little bit pricey would pick another oneplus phone day week,5.0 out of 5 stars,excellent phone,reviewed united state february,size gbstyle green,phone exactly looking gorgeous functional totally recommend find oneplus little bit pricey would pick another oneplus phone day week,oneplus 12.csv,design,positive,design phone exactly looking gorgeous functional totally recommend find oneplus little bit pricey would pick another oneplus phone day week,5
chiara guagnini,3.0 out of 5 stars,problem screen,reviewed italy april,black,month purchase unfortunately problem touch screen freeze detect touch,samsung a14 5g,screen,negative,screen month purchase unfortunately problem touch screen freeze detect touch,1
bibbina,5.0 out of 5 stars,everything well frill lot substance,reviewed italy april,black,gave phone person dear suddenly replace old samsung came end life year honorable service cant change winning team samsung back transferring data one phone another pretty simple thanks dedicated samsung app problem whatsoever rest say phone everything right without excelling anything seems robust solid maybe little heavy phone like battery enough last two full day reasonable use resource great screen audio dont expect excellent performance price least wont disappointed phone created meet need average user mainly looking durability stability low price frill,samsung a14 5g,battery,positive,battery gave phone person dear suddenly replace old samsung came end life year honorable service cant change winning team samsung back transferring data one phone another pretty simple thanks dedicated samsung app problem whatsoever rest say phone everything right without excelling anything seems robust solid maybe little heavy phone like battery enough last two full day reasonable use resource great screen audio dont expect excellent performance price least wont disappointed phone created meet need average user mainly looking durability stability low price frill,5
danilo spanu,1.0 out of 5 stars,phone working,reviewed italy august,black,unfortunately phone working properly sometimes restarts reason even take hour get back running addition power button sometimes respond would like take samsung service center didnt find receiptreceipt order assert warranty asked seller let hope well,samsung a14 5g,battery,negative,battery unfortunately phone working properly sometimes restarts reason even take hour get back running addition power button sometimes respond would like take samsung service center didnt find receiptreceipt order assert warranty asked seller let hope well,1
david thoma,4.0 out of 5 stars,far good,reviewed united state november,color olive green global rom,look good,redmi note 13 pro,design,positive,design look good,5
lisa schorm,1.0 out of 5 stars,wrong information,reviewed germany october,black,opened seal noticed second sticker underneath smaller already cut package already opened rear camera mp sent returned seller westcom,samsung a14 5g,camera,neutral,camera opened seal noticed second sticker underneath smaller already cut package already opened rear camera mp sent returned seller westcom,3
anonymous,5.0 out of 5 stars,good phone,reviewed united state april,color navysize gbstyle spattern name phone,price fine recommend buying highend,samsung s24,price,positive,price price fine recommend buying highend,5
sayde b,5.0 out of 5 stars,basic midrange,reviewed mexico october,black global rom,price fine recommend buying highend one previous year comparison medium high range remarkable also brings lot commercial official apps like poooooooor,poco m6 pro,price,positive,price price fine recommend buying highend one previous year comparison medium high range remarkable also brings lot commercial official apps like poooooooor,5
cliente amazon,3.0 out of 5 stars,telephone audio listening unsatisfactory phone call receiving conversation sound bad,reviewed italy june,black,mobile phone partly satisfactory partly good telephone line poor transmission hand reception often cant hear anything broken besides audio receiving phone call low maybe defect loud voice audio quality unsatisfactory partly metallic previous cell samsung plus defect contrary good time strange production company take qualitative step back point,samsung a14 5g,audio,neutral,audio mobile phone partly satisfactory partly good telephone line poor transmission hand reception often cant hear anything broken besides audio receiving phone call low maybe defect loud voice audio quality unsatisfactory partly metallic previous cell samsung plus defect contrary good time strange production company take qualitative step back point,3
sr,1.0 out of 5 stars,untrustworthy,reviewed italy july,black,broke second conviction week,samsung a14 5g,other,neutral,other broke second conviction week,3
dave boston,4.0 out of 5 stars,decent value gb iphone pro,reviewed united state november,service provider unlockedcolor natural titaniumsize gb,purchased renewed excellent condition unlocked amazon phone came looking pretty good small nick edge screen mm back phone fine battery level disappointing look like screen replaced apple care based phone record said phone apple care till sept thats small win phone work fine issue transferring data previous iphone connected verizon without problem ive purchased used iphones amazon seller amazon past year listed excellent condition different seller worked fine far saved ton money buying new,iphone 15 pro,battery,positive,battery purchased renewed excellent condition unlocked amazon phone came looking pretty good small nick edge screen mm back phone fine battery level disappointing look like screen replaced apple care based phone record said phone apple care till sept thats small win phone work fine issue transferring data previous iphone connected verizon without problem ive purchased used iphones amazon seller amazon past year listed excellent condition different seller worked fine far saved ton money buying new,5
michael leibold,5.0 out of 5 stars,awesome phone,reviewed united state february,size gbcolor black,phone little year still fast still work constant update great cam great o kicking butt wife samsung son motorolas would definitely purchase phone,nothing 2a,performance,positive,performance phone little year still fast still work constant update great cam great o kicking butt wife samsung son motorolas would definitely purchase phone,5
angela rozelle,5.0 out of 5 stars,satisfied,reviewed united state march,size gbstyle green,android phone run smoothly lag application switching screen display effect also delicate total super high worth buyingthis price really worth buy configuration big screen good sound quality comfortable feel satisfied,oneplus 12.csv,screen,positive,screen android phone run smoothly lag application switching screen display effect also delicate total super high worth buyingthis price really worth buy configuration big screen good sound quality comfortable feel satisfied,5
ely,2.0 out of 5 stars,name,reviewed italy october,black,expected samsung product grainy photo memory problem restart often speakermicrophone issue maybe mine born badly,samsung a14 5g,camera,negative,camera expected samsung product grainy photo memory problem restart often speakermicrophone issue maybe mine born badly,1
alan,5.0 out of 5 stars,wow beast roar,reviewed united state september,size gbstyle black,phone amazing fast light battery friggin real screen bright vivid sound pretty good speaker range bluetooth best ive found far choice narrowed samsung price brainer oh thing charge fast blow mind youre fence,oneplus 12.csv,battery,positive,battery phone amazing fast light battery friggin real screen bright vivid sound pretty good speaker range bluetooth best ive found far choice narrowed samsung price brainer oh thing charge fast blow mind youre fence,5
